Rating,Review
5,"You have to improve the camera performance, and when we send photos through WhatsApp can't get the exact quality of the picture you should try to maintain the quality of the picture. That's it it's a great app and it's helpful. If there's any other problem that i spot I will inform you Thank you."
5,"It keeps hanging up completely phone(S10+) and after some time my phone starts working and then I always have to force stop whatsapp, it eventually stops working when I am on call and sometimes on video call and mostly if the,phone isn't hanged up and I'm on call none of us can hear each other, not Full Review"
5,"Perfect for virtual conversation. We suggest to add more features and secrets!😆 And one more, please add a feature like 'mention 2 or more chats/media in once' so we can compare some statement/media with other statement/media in a same group or private conversation. Sorry for my bad grammar. WhatsaFull Review"
5,"A very decent experience i've gained using the app for nearly 7 years. To be honest it is one of the best messaging apps i've ever come across. It's live location sharing feature, WhatsApp pay , import features are all but comes handy. Just one issue plz fix the custom wallpaper. Otherwise everythinFull Review"
5,"This app is very good as everyone knows. Here are few suggestions: (1) If there is a feature to react to mssg like in messenger it would be great. (2) Pls make it possible to allow to remove 'xzy left' from the group. We are able to delete message in group, but not this notification that 'xyz personFull Review"
5,"Good. Very arranged app, simple to use. Great effort. I would like to suggest an edit to the app. It is to keep a tag on the voice msgs we send and receive to quickly know what does it say so that without playing it we can understand it. It saves time if the msg is too long. In my case our online clFull Review"
5,"Brilliant..! It's just that when we want to share some picts to other contacts in Whattsapp, the notes below the pictures can not be shared at the same time. We have to write them all over again, then share them. I hope in the future, Whattsapp would fix this issue and make itself more brilliant thaFull Review"
5,"First of all thanks for providing such a wonderful app for free. But there is bug in this app. Description: While calling from whatsapp using speaker of my car via bluetooth. If I disconnect from the button on my steering, it stops showing on the screen of the car but the call continues. If I make rFull Review"
5,"Hi Its good. But seeing a bug from past 6 months. If you are fixing that will be going good. I think everyone will face that same issue as well. The issue is if we are watching statuses and it contains two or three videos in the same. The first video will be loaded good and the next one says that ""TFull Review"
5,Introducing disappearing messages. Now you can set chats to disappear after 7 days. * Search your stickers with text and emoji or categories. * Decorate your photos and videos with smoother drawing and new alignment guides. * Now you can set a custom wallpaper for a chat or set a dark mode wallpaperFull Review
5,* Introducing disappearing messages. Now you can set chats to disappear after 7 days. * Search your stickers with text and emoji or categories. * Decorate your photos and videos with smoother drawing and new alignment guides. * Now you can set a custom wallpaper for a chat or set a dark mode wallpapFull Review
5,I love the recent updates. Love the new emojis. But It's important to update in the blocked contacts. It will be good to delete an blocked contact from the list. Another problem that I face is I get calls from unknown numbers. So I think there will be an update about that.Thank you.
5,"This App is very useful in create classroom groups as well as family groups. After creating the groups, we can change settings to send messages. But when it comes to the Group Description, any one in the group can change. It must be restricted."
5,"*Awesome app great improvements. *I wish one could edit their status after putting it up, when chatting in a group or one on one one. *mute option- make it in such a way that one doesn't get any notifications like one isn't in that group or chat at all. (👻) Also the voice note auto download, let onFull Review"
5,There is a bug in this update of whatsapp... The call gets disconnected suddenly.... And trying again goes in vain... It shows connecting.... But it doesnt... Note that...i have a 100 Mbps connection... And...i have checked that its not a problem with network...plz fix this in the next update.
5,Best app ever in my whole life. This app has no problem or fault . A really good app. Salute to that person who made this app . Very happy and satisfied with this app .thanks a lot for making this app. We can chatt or watsapp call or video call to anyone. its wonderful. We can also send locations orFull Review
5,"This is a wonderful app it helps me communicate with my loved one's and actually video call to , so I actually recomend this app to anyone else , there isn't any problems I faced with this app and I can't wait to see what it's got in the future."
5,Ever since the last update my whatsapp pop-up notification's not working... I hv to unlock the phone to see the notification on and off.. this has been so annoying now... Till date this has been the best app to keep in touch with friends n family.. I won't mind giving 5 🌟 still. Could pls fix the iFull Review
5,I've used WhatsApp for about 3 years. It's very convenient especially for international calling. For me it's much better and easier to use than Skype. When Internet connectivity is not reliable WhatsApp is a great solution.
5,Really a nice app for messages and chats.. this is very popular now.. and very useful also. Obviously I will give it five stars.. because it is fantastic and popular... It's settings are also s fab. Tgere are too many settings.. we can choose different wallpapers for different chats and I really wanFull Review
5,"Social media is a tool that is becoming quite popular these days because of its user-friendly features. Social media platforms like Facebook, Instagram, Twitter and more are giving people a chance to connect with each other across distances. In other words, the whole world is at our fingertips all tFull Review"
5,"Amazing. Love the messaging, the video call quality, the status options, the delete messages. It's awesome. Been using this for 3 years, never had a problem. ⭐⭐⭐⭐⭐ 5 star quality"
5,Everything you guys upgrade in WhatsApp features is mind blowing but i have one complaint that everytime if someone wants to change from android to iPhone or iPhone to android then they have to loose each and every data of WhatsApp there is no facilities from your side for that which you need to proFull Review
5,I wrote a long review sometime back suggesting WA should add some new emojis to spice things up and you guys did. Thats so awesome! The new emojis are brilliant and also the Live Location tracker is really good considering safety precautions we need to take. Thanks a lot! A suggestion: something speFull Review
5,"Good messaging app. My user groups chat and some others can be overwhelmed with too many exuberant 'happy birthday' media messages. 10mb+. Could WhatsApp query the users / initial messages and assess whose birthday it is. I suggest for group members a floating last entry with the text ""I want to stoFull Review"
5,"I don't like Facebook and instagrams and other social medias but I like this app because I only have to do voice chat, text message, voice call, video call and send photos in high quality instead of posting photos with weird poses as other people's do. Because I don't like to take pictures of myselfFull Review"
5,"It is a nice and very good app but there is a small problem in this app i.e. when we are sharing photos with someone choosing from gallery through whatsapp in an systematic order in whatsapp it gets jumpled. In this app when we take photo from this app's camera it doesn't come properly, So the develFull Review"
5,Plz add call waiting on whatsapp so that the confusion can be clear that the person is on a call or there is network issue. Right now if we make a call there is a confusion as even if there is network issue it shows calling and if the person whom we are calling is on a call it also shows calling in Full Review
5,Extremely fantabulas application to communicate with others. I've used it a lot and it always helped me to continue my online study. But a thing which I think the developer should change is to lighten the theme which is deep green and should have light green. 💨💨
5,"Infact this platform is one of the best in uploading any content. In that most of my friends and I are using this platform as a means of communication and filling of official forms. Comparably, it is cheaper than most platforms."
5,"I accidently lost my whatsapp yesterday whilst trying to upgrade other apps. When I reinstalled my whatsapp this morning, I found out that all my contacts were still intact. I thought I had lost my contacts. Whatsapp Thank you so much. Yours is a wonderful app."
5,"This app is good. You can make groups, add hundreds of friends in groups , make video calls, voice calls, grouo video and voice calls, you can keep a status , send photos and videos , gif, stickers, emojies."
5,"Awesome app for chatting and for group chats, voice mail quality is very good and voice call on whatsapp is also good and also we can do video calls ,its quality is awesome . And also we can put status to show our emotions, jokes,etc. I love this app very much. I suggest to you all to download this Full Review"
5,"Best app. Very convenient and user friendly. I only wish it had one option wherein one could logout of whatsapp without uninstalling it, just the same way we logout of Facebook. This will stop the notifications for a certain period of time without having to put off the data."
5,Very efficient app. Fast messaging but I would be much better if you add on the time status pictures take to disappear. They switch so quickly. Sometimes we share statuses with word quotes so we need enough seconds to read them.
5,"Excellent app.... But I had some suggestions... I suggest you to add superhero faced emojis such as iron man, captain America etc... That would be really fun and I would really appreciate if you did so... Overall app is great.. Keep it up!!!😍😍😍"
5,This app is good. But it would have been even better if it had inbuilt language translator like ablo app. It would help people of different countries to communicate in their own language without knowing each others language.
5,"I've used WhatsApp for years, and I've never had a problem. However, since I got my new Samsung A50 phone, all the voice messages have this 'ring' or sound, which makes it very hard to hear what is being said. How do I turn it off? PLEASE. Thanks"
5,"Depending on my contacts displayed .Not only a very good and useful app for communiation, I find it cool, neat and reliable than another other UP - coming new social media app, which they are out to confuse and make matters worse."
5,"In my point of view WhatsApp is a good application for connecting people around the world for sharing photos , videos , textual messages from any part of the globe. Tell now I haven't faced any problem using this amazing application. Keep up this good work !!"
5,it's very useful it has a lot of optionsI like it it helps me in my educationI talk my friends all time we can talk to other people in different countries that's not a problem.you can send a message with videos you can message with voice notes and Photos you can find locations and you can send linksFull Review
5,"This app so good, i really really like it because this app can send messages, call, video call, send location, send picture or something else. You should try this app. About internet problem, it is because your phone, it not this app!"
5,"This app is really useful and also awesome. But all i wanted to say is that , it would be really brilliant if you change the model theme , judt like that of ios. May not be same but different."
5,"Very good app. We can chat, call and also do video call through one app. No problem in network, or in problem in sending messages with. We can also send voice calls, and delete messages which we don't want to show or unuseful."
5,There is nothing to say bad things about this app but while useing whatsapp web on desktop only bar code scanning is the way to login with PC need to upgrade with others option too like OTP etc for the problem if camera is not work or damage you can also login with your PC by alternative option.
5,"Edit: Seems to be fixed now, with all the issues with YouTube in the recent days it might not even have been whatsapp""s fault. (I don't know what happened but as I can tell I'm not the only one that has the Link Preview feature not working, I'm giving the app a low score until it is fixed, this is bFull Review"
5,"I just love😍, this app. This app is very useful and helpful we can call our friends and chat and video call quality is very good and voice call quality is also so good . But sometimes there are many fake messages but this app is very good . And in this app we can add our own status and see other's Full Review"
5,"I really like this app and it is a great way to keep in touch with friends, but when I download a game to play during texts it only shows up on imessage/ messages so if you could fix that, that would be great"
5,"Great app, does almost everything i need in a communications app...i just don't understand why i cannot receive pop up notifications on Android. Running the newest note20 ultra 5g unlocked and it says notifications not supported with this android version. Please update this function. Thank you!"
5,"hello thank u for ur hard work in making this app the most convenient messenger app for all of us. just an idea, i think itd be very helpful for a lot of users esp those with loads of contacts, if u add a grouping feature so we can group chats into those for work, family, friends, or other labels cuFull Review"
5,"This feature has added alot more Security Sense & Things More Secure & competitive. Although Users on the Other End may feel the Pinch. WhatsApp can Now Charge it's Users a Fee, for the Cost incurred for Cloud based Servers for Storage, if they so select to opt for it's such services."
