Rating,Review
1,"Latest update broke the photo taking function. I do not use the Phone's Auto Rotate. Before this update, if I take photo on the Landscape mode, it would be correct side up. But after the update, it went the wrong side up. I have to press the rotate button that appears at the Shortcuts (Extreme rightFull Review"
1,"It was one of my favourite app. Easy and secure one. But now i am facing the problem from last 6 months that during whatsapp call when i want to use other apps then call is interepted and other person could not hear my voice, i have to keep open the whatsapp during the call. Second is that there is Full Review"
1,"WhatsApp has a major glitch or bug that is horrible for user. For eg, whenever you listen to voice recording and the phone goes to sleep mode, you can still listen to the recording but you can't unlock your phone no matter how much you try to open the lock screen it will be always black, black, blacFull Review"
1,"It was a good app for communication but it is not good since last few months when its broadcast function is not functioning. I used to share messages via broadcast function and the effect was good. However, the messages that I had broadcasted to my recipients were no longer been seen or read by themFull Review"
1,"A almost a year passed and the bug I reported in march is still in the app. I don't get it. Fix it, it's annoying. In March it was on my s10e now it is on my s10 (europe version). Everytime I want to send a picture WhatsApp just rotates the picture(s) automatically. It's really annoying and u reallyFull Review"
1,WhatsApp has a very big issue on its security system that is the biometric authentication or you can say the fingerprint identity its a very major glitch very messy one. I have goven the right finger print but still it can't read my fingerprint and then after 5 unsuccessful attempts it closed for 30Full Review
1,"Windows version doesn't work unless the android app is open! Are you kidding me? Why on earth would I need it on my laptop if I had access to my phone? You can listen to voice messages only in chat, you've got to stay in one chat for 10 minutes doing nothing untill the voice is finished. Do us all aFull Review"
1,"YEARS of messages just PERMANENTLY disappeared without warning!! Messages from my husband especially, and loved ones who have passed away all gone. So angry and upset 😡 Whatsapp ""helpline"" online was not helpful at all!! Uninstalled and reinstalled... messages still did not come back. Now messages Full Review"
1,"Yeah thanks. I've lost all my data of chats and images and videos, stickers and what not because they simply, do not Restore it when we try to switch our phone no. And the support team is the laziest one without any efficient help provision. And I know they won't see the problem of a common man likeFull Review"
1,"Have been using Whatsapp for quite a long time , but one of the major point as a developer it should be considered is if we shift our whatsapp from Android to iOS devices or vice versa , i should have that privilege to do that and it is major bottleneck which restricts user freedom to migrate betweeFull Review"
1,I greatly appreciate the work towards the app. I frequently use this app but main concern is I want few important groups that need to be pinned at first so that the messages from the group will not be overlooked.When I discussed about this pinned behaviour many of my friends agreed to me then I cameFull Review
1,I have been facing persistent issues of my chats getting deleted automatically. Everyday I get a notification that I have left some group without me doing anything. The previous messages in many chats have been deleted. I have changed my Gmail account as well. The account isn't logged in from any otFull Review
1,"the most pathetic and outdated app don't work with Android 11. Unable to click the button to record message. When sending emojis, you cannot search as the send button disappears. It used to be good app, probably Facebook is killing this app so people can shift to Messenger and stuff where they can sFull Review"
1,"Far behind every other competitor! No functions added since 1995. If I mute a chat and archive it, it does not make any sense that they get out of the archive as new messages arrive! I don't want them to be on the top all the time only because the group is too active! If I archive the chat it HAS TOFull Review"
1,"WhatsApp is a fine messaging service. However, the procedure of blocking your account is inexcusably ridiculously bad for such a big platform. A relative's account was recently compromised (he suddenly started sending fraudulent messages). In order to block his account he had to write an email and hFull Review"
1,"I m regular user of broadcast message which was very helpful, but from 12 to 15days i m facing lot of problem regarding sending Broadcast message it is not been delivered to the recipient but in my mobile it is showing it is it has been delivered and double tick also, i can't understand why the WhatFull Review"
1,"Hi, I just want one feature without which this app is useless. There must be an option to disable restrict strangers (contacts not on our phone) to send us message or call. Please understand this is a must feature. Because nowadays almost everyday lots of us are getting spam advert mesaages. So atleFull Review"
1,"I have an issue with my whatsapp. When my internet is on , but I didn't receive any notification or messages and any voice call or video call on lock screen and floating notification. until and unless I open my whatsapp. I have checked my phone settings and whatsapp setting. From my side , it is okaFull Review"
1,"July '20: Loss of features. App used to preview link upload info when sharing, but no longer does. Just a naked url without any helpful info. Please bring that feature back. Update Dec '20: This feature hasn't been working for 2 weeks. Very frustrating to lose this."
1,It used to be my favorite app for messaging back in 2015 or so. But now there's something seriously wrong with it's notifications. On Pixel 4a - standard vanilla android message notification playing a call ringtone. There isn't a way to customize notifications or make them silent After few hours of Full Review
1,"Sending and receiving videos take absolutely foreverrrrrr, it worked perfectly fine before all these new updates and now when I try and send a 15 second video my internet stops working/delays and I can't use any apps on my phone whilst sending the video as the video will stop trying to send! This isFull Review"
1,Everything was good until the latest update. Suddenly the Automatic Backup chat history option started taking larger space which is increasing day by day by 3-4 mb. My whatsapp backup jumped from 432 mb to 469 mb in just 2-3 days even when there is no cloud storage option enabled. Please kindly fix Full Review
1,"There is so many problems.One of this I can take it my topic . If you join someone group late. So, you cannot receive or read those messages that are all above or when you're not on this group.You can solve this problem that person can receive or read all the messages all above when the group has beFull Review"
1,"YouTube link previews are not working/showing up. When a YouTube link is pasted, there is no preview of the video and the title of it is not shown as well. Why is it so? It's been happening in all the phones lately. I have been noticing in others' phones, too. Is it an update fault?"
1,"Currently I need to transfer backup data to another phone but the verification code need to resend in 10+ hours if I have found an issue doing restoration. Normally verification code of other applications are just few minutes to be able to resend again, this is over ridiculous for backing up data inFull Review"
1,Issues: 1. Broadcast list is not working. It's really taxing to send out individually. What's this new bug ? Worst is its shows delivered so dont even know who it has sent to and who it hasn't. 2. YouTube preview links are not showing which is so bad.
1,Reconnecting... That's call I get. Tested with a good Internet connexion. Tested on 4 g. Just keeps saying reconnecting. Both of us apps are up to date. Other apps don't have this connexion issue on the same WiFi and 4g. Would not recommend.
1,It's useless by your services. You blocked me after using 10 years without even checking properly. Mailed so many times and still same reply. If you put features to report so try to see if it's genuine report or not. Since fb takeover you became worse. Started telegram and it's a lot better than youFull Review
1,I am facing one issue for many years. I have sim card of another state so network is showing in roaming state and I am using internet from that sim whenever it's going to take WhatsApp backup of chat it's getting failed because of roaming error. I have already enabled roaming enable for that SIM butFull Review
1,There is something wrong with WhatsApp recently. I can't just call anyone. I can only hear other person voice if we video call. I can't hear them if I turn off my camera or if he turn off his. Both must turn on camera so that we can hear eachother. Please fix this problem asap. Thank you.
1,"This app has to remove the read receipt function in it, the function has caused so much unnecessary problems for people with friends and relatives just because of the blue ticks. If WhatsApp can change the mute function, removing read receipt from this app should be an easy task. Read receipt is argFull Review"
1,The one star only because of.... Recent update made my whatsapp account non usable. App is consistently crashing tried many ways except uninstalling and reinstalling but nothing is working. If this Persist I won't be able to use the application as well as I'll lose my data. Reported many times but nFull Review
1,"Thier has been some useless and annoying updates in watsapp broadcast which is becoming difficult to use day by day. Latest the broadcast is not working at all, i have sent many messages through broadcast recently but only 5% of my receipents are actullay receiving the messages. In profiles of otherFull Review"
1,"The upgrade messed up the thumbnail preview when sending the YouTube link. The preview is very important part of the work. I don't know if this ia policy, might consider other platforms or apps instead. Please FIX the problem. Can you?"
1,"Super app for chating, but for sending videos it takes so many time, even if my network has a highspeed also. Do pls fix this problem. Pls rply me whatsapp head. Even in new updation it has so many bugs and why in new updation payments option for?? !! So pls rply me and answer my questions. I have sFull Review"
1,"The app will stop functioning if you do not keep updating it. It will then proceed to spam you with notifications until you do update. As someone who doesn't update app constantly this is very frustrating. A shame my family only uses this app, otherwise it would be long gone."
1,"This app is garbage. It removes useful functions like being able to view the number of messages in a chat and being able to delete a specific type of message (stickers, photos, locations,etc) and replaces it with some trash that only allows you to delete photos or videos, other than clearing the whoFull Review"
1,Unable to put status on my whatsApp account please fix this bug as soon as possible because it's bothering me a lot.. I'm trying to put status but unable to do so.. I thought it's because of the issue that i haven't updated the latest version of whatsApp so maybe after updating it will work finely bFull Review
1,"From about last ten days there is problem in this application regarding calling. During calling after few second ,there is interception in calling. Means to say that from both side can listen voice each other. Please look into it and resolve the problem."
1,Apparently you can't send a new message to someone who isn't in your contacts and I made the mistake of not adding a + to an international number in my contacts so the messages I thought I was sending through what's app all went through my sms without any sort of warning beforehand. I sent a LOT of Full Review
1,"This app is not as good as telegram,it is only useful for calling and sending voice,why can't we have a deleting option for those messages which are more than one day old??? This is so annoying and is not acceptable,I am losing my personality because of this and my mistake. THIS SHOULD BE FIXED AS SFull Review"
1,"I used to really enjoy WhatsApp. Until last week. Their ""support team"" as they call themselves. Doesn't actually support anything. It's just a bunch of automated messages. I set up a new number and it immediately got banned, and I have never even used the number before. They are unable to give a expFull Review"
1,Aftet the new update things got messed up. The camera is glitching and when i take a photo with flashlight on the screen freezes. And when i take a picture in landscape mode it flips 180⁰ upright. That never happened before. So please fix!!!
1,I am having real issues when it comes to sharing location with myself and family. It seems to take ages to update location for all of us. This is a fairly new issue as previously its been working fantastic. Nothing has changed on our end so have no clue what's going on!
1,"People who were not in my contacts knew my status updates. 😂 Perhaps it's not the app's flaws, only some real skillful but unethical hackers? But perhaps the app has some security issues as well? I wish anything worse than covid-19 to those who can't really know that everyone's rights of digital prFull Review"
1,I am facing an issue in the app that i am not receiving the messages by people who messaged me.. they got vanish from mine app not from the person phone who sent the messages. I did reinstall the app for many times but still sometimes the messages are shown in the notification panel but not shown inFull Review
1,"let me tell you why your app is a total waste of time: 1. Downloads unnecessary media to your phone. Images, videos whtevr, all of it goes to your gallery and takes up space. Why cant you just let it stay on the app and delete it a month after like usual? If i wont download it, the media remains bluFull Review"
1,"It's not working facing issues while opening 😔😔😔 what apps company have service issues not replying on sms mail ,it's not working ,it's not opening the apps on same number ,if any ceo or vice president type person is strictly check this issue and resolve this. I think my whatsapp they have baan. Full Review"
1,Broadcast is not working. Everyone of my recipient have saved my contact still not able to receive messages. Some of them receive and some of them are not able to receive. Very much problem's.
1,"This week the audio of my calls suddenly stopped, only audios in the message that works. Every time someone calls me, I hear the person, but the person doesn't hear me. I try to unlock the audio, but nothing change. Now I can't make any call through this app. It's horrible!"
1,"Hey, what is the problem? I just finished updated my Whatsapp to latest but just now i received a notification that My Whatsapp chat history has a problem and some of my messages and chat are gone. What is the point updating if this one has a problem??? I never had this sort of problem before updatiFull Review"
1,After restoring backup doesn't work web.whatsapp and desktop. Endless circle on page and desktop app after qr scan. And closing mobile app after qr scan. If doesn't restore all work fine. Updating app doesn't help. It's 3 month. HELLLLPPPPPP
1,"Since the last two updates, screen in screen for YouTube videos is not available. Only the link for a YouTube video gets copied when shared on WhatsApp, it doesn't show the thumbnail and description of the video. This needs a fix."
1,"I can't delete any chats, once I do that the app crashes and I can't open the application anymore. I tried clearing the cache and it didn't work eventually I had to delete the application. Whatsapp really needs a good IT team because everyone uses it and there's no end to end customer service, if itFull Review"
1,"Thanks for selling my info. As soon as I used this app I started getting calls like crazy from unknown callers and numbers not in my contacts. I've had this number for a long time and I've never had a call from outside of my contact list before I used this app. Thanks again, FaceCrook."
1,"Don't upgrade this version, I am facing lot of issues with whatsapp after updating to latest version. App is running very slow, images not getting downloaded in super speed wifi network. Expecting some solutions with this from technical team."
1,"I'm not able to see the status, and even mostly it becomes blurred not clear as it is,,, and suddenly it stops and home screen appears and the app stops working!!!! Please check this out, I'm getting very irritated"
1,"While Video Call camera preview hangs. Since 2 months this issue has been started. After updating app it goes for a while but then again comes. While video calling, you can see other person and they can see you but you can't see yourself on the self window. It freezes."
1,Cannot successfully backup over last 1 month. Every time process is stuck at 99%. There are problem in sending and receiving media file as well. Please fix this issue.
1,I just want to backup my chat history and transfer to the other phone but it seems so difficult for me? WhatsApp cannot been log in for 24 hours? I cannot access into the app🙃 I really cannot understand why is it so difficult for me to login whatsapp to my another phone. Chat history always missingFull Review
1,"Hello can you please fix this app, because I want to sent some pictures but it can not be send. I have try many time but still same. So please, fix it. This app make my phone lag. Please do not mind my grammar. Hopefully, you can understand what i want to says."
1,What the hell is whatsapp doing. I am not able to get new messages also previous messages of last two months are not loading. I am not able to restore my backup. I have been exited from all the groups as well. I wrote mails to whatsapp but only to get no responses. Sad but true...one of my favouriteFull Review
1,"Originally we could forward up to 20 users. Then it was reduced to max 5 user, and from when Zuckemberg brought it, very often since last update, it popup the message the forwarded item its been forwarded to many times and it limit to a single user, what next? ZERO FORWARDING? Go head, kill whatup. Full Review"
1,It's too glitchy. The images cannot be viewed it always show this image does not exist in your device. Shame on you team Facebook. Well I am changing to telegram or Viber. They have better chatting options and many other features
1,"The zoom in feature while recording a video is very laggy, And there is no double tap feature to switch rear/front cameras. I simply do not understand how can the same app in the IOS is much more superior than in android. There is switch camera feature and a very precise and fast non laggy zoom in fFull Review"
1,I have conversations that I don't delete and up a few days ago where on my phone and since that stupid message came abt new update and privacy policy and if you don't accept now WhatsApp won't work and whatever my messages are gone and the stupid back doesn't bring them back either so angry right noFull Review
1,The broadcast messages are not delivered to the complete list. Earlier they used to get delivered. I get the double tick as a proof of delivery but it is not delivered. This is a glitch. Get it rectified asap.
1,"Everytime i get this absence of thumbnail preview of a youtube video im trying to share to someone or to my status.... I updated the app and the problem seemed solved for ONE video..but then, as from second video, it was back to the same problem... 🙄 It's a bit annoying... Please fix this permanentFull Review"
1,"I don't know why after i update my WhatsApp apps, i can't download any picture or documents and i can't see my friends status. It's always showing me loading loading loading. this time whatsapp not helpful. So bad. i can't do my work just now!!"
1,"Reversing primary feature's with Zero Explanation, zero feedback on your Loyal User's comments and even Legitemate Security concern's. Every WhatsApp user can see where this is going, claiming app update's that wernt asked for or needed...ever, eg.(emoji nonsence), whilst simultaneously DeVolving thFull Review"
1,I am not able to recieve message nor can i send message. My internet is working i can open all aaps. I have clear cache & force stop. This issue is 4th time happened with me. Every time i have uninstall the app & downloaded again The main issue is of backup i don't get all messages which i get backuFull Review
1,"Recently some of the names of my contacts suddenly disappeared leaving numbers displayed on the screen. I tried to re-save again to the existing contacts in my phone book, but they just wouldn't link back to the phone contacts at all. Can you pls tell me how to correct this issue?"
1,"Off late, the broadcast messages that I am sending are being received by a few people only and my number is saved in their phones. This seems to be a major glitch because most of them are not receiving my messages. Kindly fix this."
1,From last update I am not able to select messages by doing tap and hold and not able to select message or can't copy them. It frustrates please solve this issue as soon as possible. Thanks. Riyaz A.
1,"There should be negative star 🌟 because it's too much laggy and slow. It takes so much time to start and also not able to change DP, and at least had to try 20 times . something must be done for this I am too much frustrated with WhatsApp"
1,Pathetic. They block the number for no reason... I believe they should realise the fact that they exist because of customer and if they don't come back to customer will go. There are competitors available like kaizala or telegram or even personal chats so the behaviour of blocking will give you a goFull Review
1,Voice messages are getting random stutters as if there is an audio remix that cuts off parts of my messages. I've already reinstalled the app and even hard reset my phone. It didn't happen on older versions of the app but for the past months it's been terrible!
1,"Drained 17% of my battery over two hours of usage wrongly reported as ""foreground"" by the OS while the app was not used at all (no ongoing call or whatever and not visible). That happened with battery saver enabled BTW."
1,From last many days audio calls starts becoming distorted after about a minute of duration. Earlier it was a fentastic application and I am enjoying it since many many years. Needs to fix it as its much disturbing for me. Problem remains the same even on wifi or 4G both data connections.
1,"This version refuses to make or pick calls with my NOKIA 5.3 android 10 phone, despite checking and enabling all permissions. Please look into this in the next update. I can't make or receive calls and it's painful"
1,Last update has broken incoming calls. It no longer shows the incoming call I must scroll down and look in the notifications for the incoming call. Messenger is also doing the same now!
1,The feature of setting of custom wallpaper for every chat is not working inspite of updating the app to latest version. I even restarted my phone but the issue persists. Kindly solve the issue as soon as possible.
1,"I am going to give one star due to its whatsapp web. It never sign into my pc via whatsapp web. Please fix it. I tried it from every phone in house. But nooo, it will not sign in. Due to this reason i will give only 1star. Please fix it......"
1,"While driving connected to Bluetooth on Whatsup call , if any normal call comes then again you need to connect to Bluetooth, camera is ok ok, message historybgot compromised by itself. Many messages got deleted giving a lot of rush, every call in history of same person gives details individually"
1,My WhatsApp is not working at all. If I try to do anything its saying 'no internet connection'. And my Internet is perfectly working (There's no issue with my WiFi or internet). WhatsApp help and support if you can give me some help with it please do it asap.
1,when i am opening the app its shows messages there is no notification showing while i am offline this disaster is showing after the latest update of this app.i am facing soo much problem i am not getting notification over top of android .app notification setting is set by default .its very good app Full Review
1,I had to give one star because the flagging system is banning accounts irresponsibly. It needs an adjustment on what's harmful and what could possibly violate whatsapp's terms and conditions. It's very unfortunate to some of us users who have been flagged severally for petty unharmful issue. This reFull Review
1,"When I uninstalled and installed the app when my phone hanged, I am unable to see the stickers icon and I am not able to send stickers anymore. This is one of my worst experiences with WhatsApp. I had saved many stickers and I can't see any now!"
1,"I'm mostly just annoyed that I can't view pictures or videos without downloading them. I've set it to download ""no media"" in the settings, but when I try to view anything it says ""to download media blah blah blah"". I don't want to download it. I just want to look at the damn thing."
1,"It's new version is so bad I lost all notes now a days online classes are there all notes are coming in whatsapp , WhatsApp's new version should be updated and it is compulsory to update Either wise u will lose access to whatsup 2021 new version is super bad! Thank God some notes are stored by takinFull Review"
1,"This app is very bad , past few days I am not able to download any pdf , photo , audio and video and I am not able to upload any wallpaper ( chat screen one not the profile photo ). If you fix this problem then I promise you to give 5 star rating."
1,Could be a 5 Star app but there always seems to be something wrong with it. Latest problem is that it's ignoring custom group notification settings and giving me a default notification tone regardless of the settings that should override it.
1,"I would give 5 stars when WhatsApp return the function of showing YouTube video preview in the chat. I noticed it had since been removed by WhatsApp. Now whenever I share YouTube link, there is no more preview like in the past. Please bring back the YouTube preview function."
1,from past few days every voice or video call i make keeps getting distorted after minute and a half or two. the other side sounds like robot to me and they can't hear me at all. please advise what it is? i have tried uninstalling and reinstalling the app too.
1,The app was good earlier but after arriving of telegram what's app become too old in comparison to telegram . Telegram gives lots of features - It hide my number ( so I can easly join in any group I think if what's app will not able to give this new features as telegram it may be obsolete soon
1,"Tired of whatsapp's always online feature? As Whatsapp is not interested in a logoff option, here's an easy tip. Go to phone settings > apps > whatsapp > data settings, disable all four options there. Then force stop whatsapp. There you go, whatsapp off, but all other things in mobile works! When yoFull Review"
1,"I hate this app. I was going to block my friend as a joke and I accidentally pressed ""report and block"". Why should it clear the chats? Why does report and block clear the damn chats!? I just lost 35,000 messages with my best friend and I even cried. I dispise this app now. There is literally no wayFull Review"
1,"Now a days unable to send messages from broadcast list. It shows that messages are sent to everyone in the LIST, but recipients are not viewing the same message."
1,"When I share a YouTube link on groups, personal messages or status, it doesn't show the preview option as it used to show before. That was a really good feature. Please respond regarding this bug."
1,"Dear Sir/WhatsApp Because I keep changing my device ( routing). :huawei,Samsung,honor,Tablets-----. and due to need to re-registered my WhatsApp for my number again. Now the problem is had to delay for more then 20+++ hrs to re-registered again. Please,Hope can remove the timeline limitation and avaFull Review"
1,Since last few days not able broadcast message Whenever I send message in broadcast to multiple number it shows double ticky✔️✔️ but it doesn't become blue and not show my post all members. The recipient is complaining that he has not received the message Why its happening so So I am rating as one sFull Review
1,"I un-installed the app and from here on its just rubbish. It's been initialising for the whole morning. Can yal fix this already. And yes I've updated to the latest version so no, uts not that. And don't tell me to restart my phone. Done that too!"
1,"After the new update, why are we unable to see the number of texts sent to a person... I kindly request to bring that version back.... This new update is rubbish.. I cannot put my own wallpaper from gallery"
1,From last few days I am facing voice distortion after around 30 sec of all the audio calls. Fails to fix this issue. Earlier it was all ok and well performing application.
1,"Please let us toggle off that voice record button. It's taking up the most prime real estate, and is so easy to trigger accidentally."
1,Nice app but one small request normally many people used dual sim and two personal number at single mobile. At the same time in single mobile only one whatsapp uses for single number but another number they can't using whatsapp. so please giving option for two whatsapp using for different contact nuFull Review
1,Before some time due to personal reasons I deleted my account...now I want it back and when I'm gonna registrating my account it goes over code but suddenly it shows download the latest version from play store...but currently there is no update...solve this
1,"Since the last update, messages sent through Broadcast are not being delivered to the members. In my devuce it is showing as delivered but they are not getting any of my messages in their device..."
1,Good app... But lately cant get youtube thumbnails to show up on messages. Very annoying. Please fix.. cleared cache and restarted several times. Still no luck.
1,Not inclusive enough. Please give us ability to block voice messages or at least add feature to transcribe voice messages into text. Think of deaf people who use your app.
1,"Worst experience, broadcast message to the added contacts also not delivered, after showing double tick in my message though. Watsapp should fix this as soon as possible."
1,"Wow such a grate update. Not safe, Not cloud base ! No perfect Stickers, no saved gif and Messages, no forwarding , no good internal playing. In one word awful ! if you have no new ideas , please just copy from Telegram app! It's open source! :)))))))))"
1,"I tried several times to pick a picture from my phone gallery and set it as my WhatsApp status. But, whenever I try to do that I could only see a black screen with no photo gallery visible at all... Support team not responding at all"
1,"has went downhill, why would we need chats to dissappear, that's what snapchat is for. the video uploading/sharing takes about 10 mins. not always getting notifications. the app needs work and fixed, not cloned so it resembles snapchat"
1,"I've been a whatsapp user for almost 7 years, and yesterday, I've just lost all my chats with no way to restore it. I've been doing backup in Google drive, and I'm not able to restore it. Angry and frustrated!"
1,"Please give us the option to bulk delete TEXTs as well via the new Storage Management, not just Videos and Pics. Also, please reinstate the ability to CLEAR Group Chat WITHOUT opening the Group Chat first. That way, group members will not receive confirmation that you read a message that you actuallFull Review"
1,"I am facing an issue since 3 days, like when I download the pics and tap on it then it again ask to download it and it's showing in the gallery sometimes but the files are corrupt so m not able to send it anywhere else."
1,"Very unhappy with the update, Earlier while a sharing a link a preview used to appear in the chat now whenever I share a song or something no preview is available that's something disappointing please revert it to the original."
1,BROADCAST MESSAGE IS NOT WORKING.EARLIER ITS WORKING NOW ITS NOT.WHY IS THIS GOING ON.I AM FACING BIG PROBLEMS DUE TO THIS . AS IT SHOWS MESSAGE DELIVERED IN MY PHONE AND IN OTHERS PHONE WHEN I CHECKED I GOT SHOCKED THAT MESSAGE WAS NOT EVEN SENT TO THEIR PHONE.HOW CAN WE COMMUNICATE NOW WITH THIS PFull Review
1,"Hi I am a whatapp user ,I am living in WhatsApp when my friend or someone call me in WhatsApp I am not getting sound . My new mobile full sound .I have searched in YouTuber there are more problem's about new update so ,pls emove the bug fast ."
1,"Everyone please start using telegram. Always a terrible experience moving one phone to another. Neither the backups work. Nor is there any cross compatibility between iOS and Android. This is absolute trash from ""FACEBOOK"" I would have never use whatsapp but all my contacts do so I have to really. EFull Review"
1,"There is problem in broadcast messages, when i send broadcast message my half freinds did not recieve my message and half freinds recieve my message this problem occure after update of whattsapp on 5th december 2020. I mail to the whattsapp team but they not yet fix this problem."
1,"Just downloaded the latest update. After, went to send a message and noticed that all my stickers and Gif that took me so long to get them were lost. The same happen with some conversations I was saving. Everytime an update comes it come with glitches. Can anybody tell me how to recover my what I loFull Review"
1,everything is just amazing except one change in the new update i.e. storage management option as it replaced data storage option which had shown us how many texts we sent and recived to a particular contact please fir it as soon as possible as many users need that
1,If I don't want to update to the last version I'm not able to see the messages... too bad! I hope one day Whatsapp stop being the app that everyone want to use it.
1,"It has become a very stupid app recently. It's always saying ""Your phone number has been banned from whatsapp"" have sent series of mails to them but still the same. I don't know what is wrong with their app lately..... So annoying!"
1,I have faced a big issue (Video sending). Last night I was sending a video to my frnd at 9:32 pm and it was only 5MB. It got sent at 10:12 pm and my internet is working well 4G+. Wt is happening with my WhatsApp? Plz fix it ❤❤❤
1,To my phone some unknown calls are coming from other states and they are talking in hindi and they are asking that you have send some wrong messages but I have not send any wrong message to anyone and l not have their phone numbers and after sometimes the WhatsApp was bande this is second time and lFull Review
1,I wont say but this app is somehow nice but my problem is when I send somthing to someone or the person sends something to me it wont go or come fast the reason why am complaining is because I do buisness is not helpful that way because it dosent make my buisness move especially in this season becauFull Review
1,"When I tried to 'rate' someone out of 10 (chain mail) , it always cut out a number or made the number completely different. Also this is trash bc it almost ruined ma friendship with one of my friends. I got rlly mad at WhatsApp. They have to fix it"
1,After new update sometimes it automatically redirected google map with source as my location and destination as someone from my contact list. Please resolve this issue as it is so irritating
1,"Whatsapp is getting totally useless, messages receiving but 80% of time it is not alerting with sound & vibration. Icon visible in status bar but no sound & vibration. Notification channels are not working properly at all.."
1,"Notification error, when I receive a new message all previous unread messages show up again in notifications. This should not be the case."
1,There is alot of bugs and this makes the phone hang and unable to download pictures and videos. Please look into it and make the changes
1,Since the newest update of 2 days ago my broadcast list does not deliver my messages anymore. The recipients do have my number saved but the do not get my messages. Please fix this problem
1,"YouTube link previews and icons are not working anymore. When i share a YouTube video link in my WhatsApp messages, preview is missing, just the link is there."
